be interested in,〜に興味がある
for example,例えば
take part in,〜に参加する
depend on,〜に頼る
as soon as,〜するとすぐに
look forward to,〜を楽しみにする
pay attention to,〜に注意を払う
by the way,ところで
come up with,〜を思いつく
according to,〜によると
in order to,〜するために
be proud of,〜を誇りに思う
get along with,〜とうまくやっていく
must have,〜だったに違いない
as a result,結果として
take care of,〜の世話をする
make sure,確認する
at least,少なくとも
thanks to,〜のおかげで
be responsible for,〜に責任がある
be interested in,〜に興味がある
for example,例えば
take part in,〜に参加する
depend on,〜に頼る
as soon as,〜するとすぐに
look forward to,〜を楽しみにする
pay attention to,〜に注意を払う
by the way,ところで
come up with,〜を思いつく
according to,〜によると
in order to,〜するために
be proud of,〜を誇りに思う
get along with,〜とうまくやっていく
as a result,結果として
take care of,〜の世話をする
make sure,確認する
at least,少なくとも
thanks to,〜のおかげで
be responsible for,〜に責任がある
be similar to,〜に似ている
set up,設立する
be good at,〜が得意である
be aware of,〜を意識している
be famous for,〜で有名である
get rid of,〜を取り除く
make use of,〜を利用する
in addition to,〜に加えて
run out of,〜を使い果たす
be similar to,〜に似ている
have difficulty in,〜に苦労する
be different from,〜と異なる
come true,実現する
agree with,〜に賛成する
belong to,〜に所属する
be afraid of,〜を恐れている
fill in,記入する
find out,見つけ出す
be born in,〜で生まれる
listen to,〜を聞く
take a look at,〜を見てみる
turn out,結局〜になる
cope with,〜に対処する
be satisfied with,〜に満足している
keep in mind,心に留めておく
make up one's mind,決心する
prevent A from B,AがBするのを防ぐ
get over,克服する
on behalf of,〜を代表して
object to,〜に反対する
provide A with B,AにBを提供する
replace A with B,AをBと取り替える
because of,〜のために
at the same time,同時に
at first,最初は
at the moment,今のところ
as if,まるで〜のように
as well as,〜だけでなく…も
due to,〜の理由で
right away,すぐに
so far,今までのところ
used to,以前は〜だった
to be honest,正直言うと
without a doubt,疑いなく
