believe,を信じる
consider,を見なす
expect,を予期する、と思う
decide,決める
allow,を許す
remember,覚えている
worry,心配する
concern,に関係する、を心配させる
suggest,を提案する
explain,説明する
describe,の特徴を述べる
improve,を改善する
produce,を生産する
create,を創造する
provide,を供給する
increase,増える
grow,成長する
develop,を開発する
rise,上がる、昇る
raise,を上げる、（子供）を育てる
follow,次に続く、に従う
require,を要求する
fill,を満たす
support,を支持する
share,を共同で使う
face,に直面する、（危険などが）の身に迫る
touch,を感動させる
store,を蓄える
pay,（金）を支払う
deal,に対処する，を扱う
save,（時間、金銭など）を節約する
happen,（事が）起こる、たまたまする
occur,（事が）起こる
work,機能する
change,を変える
run,を経営する
turn,の向きを変える
return,戻る、帰る
stand,を我慢する
lie,横たわる、うそをつく
brain,脳
mind,心、精神
language,言語
thought,考え
knowledge,知識
skill,技能、技術
technology,科学技術
culture,文化
experience,経験
result,結果
reason,理由
cause,原因
effect,影響、効果
matter,問題
sense,感覚
way,方法、道
term,期間、（専門）用語
situation,状況
condition,状態、状況
position,（所定の）位置、場所、立場
environment,環境
nature,自然
research,研究、調査
rule,規則
interest,興味
value,価値
view,意見
sound,音
form,形状、（記入）用紙
case,場合
role,役割
age,年齢
care,世話
risk,危険（性）
human,人間の
free,自由な
sure,確信して
certain,確信して、ある程度の
main,主要な
major,主要な
minor,重要でない
clear,明らかな
likely,ありそうな
possible,あり得る、可能な
similar,似ている
close,（ごく）近い
common,共通の
general,一般的な
ordinary,普通の
specific,明確な
particular,特別の
individual,個人の
unique,特有の
rare,珍しい、まれな
therefore,したがって、その結果
thus,したがって
moreover,そのうえ、さらに
furthermore,そのうえ
besides,そのうえ
nonetheless,それにもかかわらず
notice,気づく
note,注意する、注目する
discover,を発見する
realize,（はっきりと）理解する
recognize,をそれとわかる
encourage,を励ます
force,（人）に無理やりさせる
order,を注文する
affect,に影響する
offer,（人）に（物・事）を提供する
demand,を要求する
argue,と主張する
claim,を主張する
object,反対する
challenge,に異議を唱える
involve,を巻き込む
include,を含む
contain,を含む
relate,を関連づける
connect,をつなぐ
refer,言及する
contact,と連絡する
compare,を比べる
measure,を測る
mark,（印など）をつける
approach,近づく
reach,に到着する
achieve,を達成する
receive,を受け取る
complete,を完成させる
lead,を導く
win,勝つ
lose,を失う
fail,できない
miss,に乗り遅れる
lack,に欠けている、が不足している
reduce,を減らす
avoid,を避ける
limit,を制限する
prevent,を妨げる
wear,を身に着けている
bear,を我慢する、を（心に）抱く
focus,を集中させる
author,著者
professor,教授
sentence,文、（宣告された）刑
passage,（文章の）一節
message,伝言、メッセージ
statement,陳述
topic,論題、話題
article,記事
issue,問題
theory,理論
evidence,証拠
experiment,実験
subject,（研究、話などの）主題
government,政府
policy,政策、方針
education,教育
company,会社
colleague,同僚
industry,産業
trade,貿易
economy,（国家などの）経済
customer,顧客
benefit,（物質的、精神的）利益
figure,図
rate,比率
chance,見込み
opportunity,機会
project,事業
practice,練習
effort,努力
quality,質
quantity,量
amount,金額
scientific,科学の
political,政治の
social,社会の
official,公式の
financial,財政（上）の
expensive,高価な
various,さまざまな
normal,普通の
familiar,よく知っている
appropriate,適切な
necessary,必要な
correct,正しい
available,利用できる、入手できる
typical,典型的な
positive,積極的な
negative,好ましくない、消極的な
passive,受動的な
physical,身体の
mental,精神の
rather,むしろ、かなり
instead,その代わりに
otherwise,そうでなければ、それ以外は
somehow,どうにかして
somewhat,いくぶん
wonder,と思う
suppose,（たぶん）と思う、もしならば
imagine,を想像する
regard,を見なす
wish,と思う
determine,を決定する
express,を表現する
represent,を象徴する、を代表する
identify,を特定する
mention,に言及する
solve,を解決する
prove,を証明する
communicate,意思を通じ合う
respect,を尊敬する
prefer,のほうを好む
design,を設計する
establish,を設立する
found,を設立する
publish,を出版する
serve,役に立つ
supply,を供給する
apply,申し込む、を適用する
treat,を扱う、を治療する
search,（場所など）を探す、捜索する
prepare,準備する
protect,を保護する
pick,を選び取る、を摘む
fit,ピッタリ合う、うまく合う
gain,を（努力して）手に入れる
enter,に入る
spread,広がる
advance,前進する
tend,傾向がある
depend,依存する
exist,存在する
decline,減る、衰える
decrease,減る
waste,を浪費する
damage,（物、体の一部）に損害を与える
suffer,苦しむ
act,行動する
perform,を行う
species,（生物の）種
variety,多様（性）
degree,程度
range,範囲
standard,水準、基準
medium,（伝達などの）媒体
advantage,有利な点
task,（課された）任務、仕事
rest,残り、息
purpose,目的
feature,特徴
factor,要因、要素
shape,形、体調
image,イメージ、印象
detail,詳細（な情報）
character,性格
function,機能
structure,構造
ground,地上
influence,影響
disease,病気
pain,痛み、骨折り、苦労
medicine,薬
death,死
fear,恐怖（心）
memory,記憶（力）
emotion,（喜怒哀楽の）感情
movement,（政治的な）運動
region,（広大な）地域
climate,（長期的な）気候
temperature,体温
community,地域社会
population,人口
generation,世代
present,出席している、現在の
recent,最近の
current,現在の
ancient,古代の
previous,前の
serious,真剣な
careful,注意深い
responsible,責任がある
active,活動的な
afraid,恐れて
aware,気づいて
patient,我慢強い
whole,全体の
low,低い
huge,巨大な
blank,空白の
central,中心的な
safe,安全な
wild,野生の
eventually,結局（は）
unfortunately,残念なことに
seemingly,見たところ
afterward,後で
altogether,完全に
assume,当然と思う
guess,と思う
associate,から連想する
desire,を強く望む
indicate,を示す
respond,応答する
reply,返事を出す
attempt,を試みる
manage,をなんとかやり遂げる、をうまく扱う
maintain,を維持する、を主張する
unite,結合する
join,（会、団体、人）に加わる
attract,を引きつける
match,調和する
attack,を襲う、攻撃する
seek,を探し求める
engage,従事する、を引き入れる
succeed,成功する、継承する
marry,と結婚する
attend,に出席する
satisfy,を満足させる
survive,（切り抜けて）生き残る
promote,を促進する
earn,を稼ぐ
feed,に食べ物を与える
taste,～の味がする
smell,～のにおいがする
adapt,（…に）順応する(to)
adopt,（考え、方針）を採用する
adjust,を調節する
separate,を分離する
exchange,交換する
replace,を取り替える
remove,を取り去る
release,（ガスなど）を放出する
disappear,姿を消す
observe,を観察する
estimate,と推定する
reveal,を明らかにする、暴露する
emerge,現れる
arise,（問題、困難、機会などが）生じる
citizen,国民
career,経歴
income,（定期）収入
billion,10億
bill,請求書、勘定（書）
charge,（サービスに対する）料金
item,品目、項目
scale,規模
site,場所、用地
section,部分
crop,（農）作物
diet,（日常の）食事
source,源
resource,資源
moment,瞬間
decade,10年間
stage,（発達、変化の）段階
aspect,（物事の）側面
sort,種類
instance,（具体）例
link,関連、つながり
contrast,対照
access,利用、入手
device,装置
survey,（アンケートによる意識などの）調査
technique,技術
content,中身
surface,表面
concept,概念
difficulty,困難、苦労
trouble,困難
crime,犯罪
attitude,態度
habit,（個人的な）習慣
whatever,たとえ何を…しても、たとえ何が…であろうと
urban,都市の
rural,田園の、田舎の
local,その土地の、地元の
native,生まれた土地の
smart,頭の良い
intelligent,知能の高い、聡明な
intellectual,知的な
potential,潜在的な
moral,道徳（上）の
private,個人的な
equal,等しい、平等な
fair,公正な、(数量などが)かなりの
entire,全体の
initial,初期の
essential,必要不可欠な
significant,重要な
terrible,ひどい
digital,デジタル(方式)の
direct,直接の
nearly,もう少しで
merely,単に
seldom,めったに…ない
lately,最近
apart,（空間、時間的に）離れて
trust,を信頼する
promise,を約束する
predict,を予測する
reflect,を反映する、を反射する
recall,を思い出す
rely,頼る
commit,（罪、過失など）を犯す、（金、人、時間など）を投入する
appreciate,をありがたく思う、を正しく認証（評価）する
praise,を褒める
doubt,を疑わしいと思う、ではないと思う
complain,不平を言う
ignore,を無視する
warn,に警告する
gather,を集める、拾い集める
acquire,（習慣など）を身に付ける
examine,を調べる
score,（試合、テストで）（点）をとる
judge,を判断する
select,を選び出す
divide,を分ける
distinguish,を区別する
graduate,卒業する
shift,（位置、方針など）を変える
hide,を隠す
mix,を混ぜる
fix,を修理する
display,を示す
define,を定義する
invent,を発明する
vary,異なる、多様である
expand,を拡大する
evolve,進化する、発展する
confuse,を混同する
consume,を消費する
compete,競う
repeat,を繰り返す
repair,を修理する
remind,に思い出させる
refuse,を拒む
reject,を拒絶する
deny,を否定する
destroy,を破壊する
audience,観衆、聴衆
race,民族、人種
conflict,争い
debate,論争
struggle,懸命の努力、奮闘
strategy,戦略
progress,進歩
principle,原則、原理
element,要素
origin,起源
birth,出産
ancestor,祖先
cell,細胞
gene,遺伝子
scene,場面
trend,傾向
traffic,交通（量）
track,（車などが通った）跡
series,連続
context,状況
background,（景色、事件などの）背景
basis,基準
status,地位、身分
volunteer,ボランティア
staff,スタッフ、職員
duty,義務
labor,労働
reward,褒美
aim,目的
fun,楽しみ、おもしろいこと（人）
crowd,群衆
revolution,革命
poverty,貧困
consequence,結果
sequence,連続、（連続するものの）順番
complex,複雑な
complicated,複雑な
FALSE,誤った
alternative,代替の
extreme,極端な
ideal,理想的な
primary,最も重要な
worth,価値のある
obvious,明らかな
legal,法律（上）の
commercial,商業的な、営利的な
artificial,人工の
chemical,化学の
biological,生物（学）の
former,元の
mobile,（物が）可動［移動］式の
straight,まっすぐな
regular,定期的な
independent,（人が）自立した
overseas,海外へ
unlike,～と違って
via,～媒介で
whereas,…だけれども
perceive,を知覚する
fascinate,を魅了する
bore,を退屈させる
disappoint,を失望させる
imply,それとなく言う
recommend,を勧める
demonstrate,を証明する
conclude,と結論づける
announce,を発表する
appeal,心に訴える
address,（問題）に取り組む、（人）に演説する
advertise,を宣伝する
invite,を招待する
afford,を持つ余裕がある
purchase,を購入する
participate,参加する
belong,所属している、ものである
conduct,を行う
behave,振る舞う
operate,を操作する、手術を行う
organize,を主催する、準備する
host,を主催する
combine,を組み合わせる
deliver,配達する
locate,を（場所に）置く
encounter,に（偶然）出会う
surround,を囲む
explore,を探検する
stick,くっつく、固執する、を貼り付ける
strike,に当たる、（人）に印象を与える
hurt,を痛める
bite,にかみつく
tear,を引き裂く
aid,を援助する
press,を押す
burn,を燃やす
flow,流れる
preserve,を保存する
borrow,を（無料で）借りる
steal,を盗む
escape,逃れる、脱出する、を免れる
neighbor,隣人、近所の人
household,世帯
resident,居住者、住人
vehicle,車、乗り物
wheel,（自動車の）ハンドル
delay,遅れ
fuel,燃料
pollution,汚染
atmosphere,雰囲気
electricity,電気
cancer,癌
plague,疫病
threat,恐れ、予兆
flood,洪水
earthquake,地震
disaster,災害
crisis,危機
victim,被害者、犠牲者
wealth,富、財産
fund,資金、基金
capital,資本
profit,収益
talent,才能
capacity,能力
scholar,（主に人文系の）学者
tradition,伝統
literature,文学
lecture,講義、講演
manner,方法、行儀、作法
symbol,象徴
analysis,分析
version,…版
perspective,観点
vision,（将来の）展望
sight,見えること
insight,洞察（力）
bilingual,バイリンガルの，2言語を話す
capable,能力がある
willing,をいとわない
eager,熱望して
amazing,驚くほどの
calm,冷静な
quiet,静かな
senior,高齢者の、（地位などが）上級の
elderly,年配の
firm,確固とした
severe,（痛みなどが）ひどい、厳しい
tough,困難な
rapid,急速な
immediate,即座の
vast,広大な
enormous,巨大な、莫大な
broad,広範囲な
narrow,（幅が）狭い
tiny,とても小さな
efficient,効率の良い
constant,絶え間ない
nearby,すぐ近くの
distant,遠い
insist,断固要求する
intend,を意図する、つもりでいる
inspire,を奮起させる
emphasize,を強調する、力説する
propose,を提案する
persuade,を説得する
convince,に納得させる
admit,を（事実と）認める
favor,に賛成する、を好む
excuse,を大目に見る、の言い訳をする
interpret,を解釈する
translate,を翻訳する
concentrate,精神を集中する
criticize,を非難する
